Denumire,Locatie,Pret_noapte,Nr_stele,Scor,Nr_evaluari,Nr_nopti,Check-in,Check-out,Nr_camere,Nr_adulti,Nr_copiii
Adventure Lake Resort - Simared,Maramures,450000.0,0,9.2,292.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Victoria,Maramures,260000.0,0,9.0,707.0,2,2025-04-14,2025-04-16,1,1,2
Green Garden,Maramures,408000.0,3,9.9,79.0,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Inima Maramureșului,Maramures,200000.0,0,9.8,192.0,2,2025-04-14,2025-04-16,1,1,2
Nord Hotel,Maramures,303000.0,0,9.1,633.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Gradina Morii,Maramures,268000.0,0,9.1,746.0,2,2025-04-14,2025-04-16,1,1,2
Casa Sofia,Maramures,327500.0,3,9.4,129.0,2,2025-04-14,2025-04-16,1,1,2
Domeniul Acasa in Vadu Izei Maramu,Maramures,380000.0,3,9.4,127.0,2,2025-04-14,2025-04-16,1,1,2
Casa Muntean,Maramures,200000.0,0,9.5,188.0,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Ana,Maramures,500.0,0,9.5,59.0,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Agroturistica Casa Pribegilor,Maramures,250000.0,3,9.7,173.0,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Magnolia,Maramures,179000.0,3,9.1,132.0,2,2025-04-14,2025-04-16,1,1,2
The Village Pension,Maramures,373500.0,0,9.8,104.0,2,2025-04-14,2025-04-16,1,1,2
Vila FAN Confort,Maramures,200000.0,0,9.1,318.0,2,2025-04-14,2025-04-16,1,1,2
Vila Perla Sapanteana,Maramures,200000.0,3,8.6,149.0,2,2025-04-14,2025-04-16,1,1,2
Păstrăvăria Alex,Maramures,500.0,3,9.5,545.0,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Casa Traditiilor,Maramures,450000.0,0,9.7,157.0,2,2025-04-14,2025-04-16,1,1,2
The NEST,Maramures,350000.0,3,9.8,38.0,2,2025-04-14,2025-04-16,1,1,2
Casa cu Magnolii,Maramures,450000.0,0,9.9,17.0,2,2025-04-14,2025-04-16,1,1,2
Pension Agnes,Maramures,250000.0,3,9.6,427.0,2,2025-04-14,2025-04-16,1,1,2
La Romaneasa,Maramures,360000.0,0,9.3,290.0,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Casa Mariuca,Maramures,200000.0,0,9.4,26.0,2,2025-04-14,2025-04-16,1,1,2
Forestia - modern cabin with hot tub,Maramures,1242.0,0,9.4,6.0,2,2025-04-14,2025-04-16,1,1,2
Maramures Landscape,Maramures,170000.0,3,9.6,33.0,2,2025-04-14,2025-04-16,1,1,2
Hotel INA,Maramures,432000.0,0,9.4,159.0,2,2025-04-14,2025-04-16,1,1,2
Piata Unirii Central Apartments,Iasi,337000.0,4,9.5,5.631,2,2025-04-14,2025-04-16,1,1,2
Studios & Apartments Palas by GLAM,Iasi,270000.0,3,9.4,680.0,2,2025-04-14,2025-04-16,1,1,2
Luxury Lazar Towers by GLAM Story,Iasi,294500.0,4,9.3,285.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Moldova,Iasi,676.5,0,8.3,2.801,2,2025-04-14,2025-04-16,1,1,2
TOD APARTMENTS Palas Mall,Iasi,294500.0,4,9.4,250.0,2,2025-04-14,2025-04-16,1,1,2
Perfect Host Palas,Iasi,239500.0,4,9.8,130.0,2,2025-04-14,2025-04-16,1,1,2
Comfortable apartment for you and your family,Iasi,220000.0,3,8.0,14.0,2,2025-04-14,2025-04-16,1,1,2
Luxury COZY Suites & Studios at Unirea Towers,Iasi,274500.0,4,9.4,71.0,2,2025-04-14,2025-04-16,1,1,2
Cuibul Verde Copou,Iasi,270000.0,3,9.9,42.0,2,2025-04-14,2025-04-16,1,1,2
Lazar Towers Studios & Apartments near Palas,Iasi,264000.0,3,9.3,110.0,2,2025-04-14,2025-04-16,1,1,2
Palace of Culture Dream Apartments and Studios Iasi,Iasi,292500.0,4,8.7,264.0,2,2025-04-14,2025-04-16,1,1,2
Newton Studios & Apartments by GLAM APARTMENTS,Iasi,266000.0,3,9.0,53.0,2,2025-04-14,2025-04-16,1,1,2
COZY APARTHOTEL - Ultracentral Luxury Apartments Iasi,Iasi,315000.0,4,8.5,188.0,2,2025-04-14,2025-04-16,1,1,2
Prestige Hotel,Iasi,380000.0,4,9.0,1.596,2,2025-04-14,2025-04-16,1,1,2
Palas Mall - Cozy Studios and Flats Iasi,Iasi,292500.0,3,8.3,259.0,2,2025-04-14,2025-04-16,1,1,2
Exclusive Collection Palas Mall Suites and Studios,Iasi,346500.0,4,8.7,41.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Arnia,Iasi,420000.0,0,9.3,2.005,2,2025-04-14,2025-04-16,1,1,2
Hotel Continental City Center,Iasi,498500.0,0,7.9,1.453,2,2025-04-14,2025-04-16,1,1,2
Luxury Studios at Unique opposite Palas with Parking,Iasi,310000.0,3,9.5,76.0,2,2025-04-14,2025-04-16,1,1,2
Cozy Accommodation Central City - Iasi,Iasi,283500.0,3,8.4,181.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Ceramica,Iasi,273000.0,0,8.6,1.271,2,2025-04-14,2025-04-16,1,1,2
Palace of Culture & Palas Mall Collection Suites & Studios,Iasi,270000.0,4,8.8,102.0,2,2025-04-14,2025-04-16,1,1,2
MONARC Boutique ApartHotel - SELF CHECK-IN,Iasi,214000.0,4,9.6,375.0,2,2025-04-14,2025-04-16,1,1,2
Sauna & Private Parking 2rooms apartment,Iasi,400000.0,4,9.6,130.0,2,2025-04-14,2025-04-16,1,1,2
Urban Accommodation - Palas Mall Iasi,Iasi,297000.0,4,8.2,98.0,2,2025-04-14,2025-04-16,1,1,2
Maritimo ApartHotel,Constanta,450000.0,4,9.2,2.195,2,2025-04-14,2025-04-16,1,1,2
Hotel Carol,Constanta,427500.0,0,9.2,975.0,2,2025-04-14,2025-04-16,1,1,2
JMR Royal,Constanta,600.0,0,9.4,925.0,2,2025-04-14,2025-04-16,1,1,2
Gabizz Apartments,Constanta,531.5,0,8.9,61.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Megalos,Constanta,397500.0,0,8.2,1.513,2,2025-04-14,2025-04-16,1,1,2
Hotel Cherica,Constanta,592.0,0,9.4,832.0,2,2025-04-14,2025-04-16,1,1,2
Arion Hotel,Constanta,210000.0,0,7.6,587.0,2,2025-04-14,2025-04-16,1,1,2
Bella Villa,Constanta,289000.0,3,9.0,111.0,2,2025-04-14,2025-04-16,1,1,2
Casa David,Constanta,130000.0,3,9.3,555.0,2,2025-04-14,2025-04-16,1,1,2
Turquoise by the sea,Constanta,500.0,0,9.9,250.0,2,2025-04-14,2025-04-16,1,1,2
Voila Inn,Constanta,330000.0,0,8.3,930.0,2,2025-04-14,2025-04-16,1,1,2
Curtea Brancovenească,Constanta,240000.0,0,8.3,332.0,2,2025-04-14,2025-04-16,1,1,2
Villa Edel Constanta,Constanta,220000.0,0,9.2,610.0,2,2025-04-14,2025-04-16,1,1,2
Millennium Hub & Hotel,Constanta,642.0,0,9.1,878.0,2,2025-04-14,2025-04-16,1,1,2
London Hotel,Constanta,195000.0,0,9.1,253.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Florentina,Constanta,230000.0,0,8.3,377.0,2,2025-04-14,2025-04-16,1,1,2
Vila Montana,Constanta,218000.0,0,8.9,169.0,2,2025-04-14,2025-04-16,1,1,2
Rosetti One,Constanta,800.0,4,9.8,107.0,2,2025-04-14,2025-04-16,1,1,2
Aparthotel Nevada - Apartamente,Constanta,353000.0,3,8.8,357.0,2,2025-04-14,2025-04-16,1,1,2
Adrys Boutique Villa,Constanta,238000.0,3,8.6,261.0,2,2025-04-14,2025-04-16,1,1,2
Hanu Satului,Constanta,280000.0,3,8.1,137.0,2,2025-04-14,2025-04-16,1,1,2
Apartament Erika - by the beach,Constanta,400000.0,0,9.5,52.0,2,2025-04-14,2025-04-16,1,1,2
Grand Hotel Belvedere,Prahova,585.0,0,8.7,1.82,2,2025-04-14,2025-04-16,1,1,2
Mirandis Apartments - Comfort & Private Parking Near Coresi Mall,Prahova,223000.0,4,9.5,102.0,2,2025-04-14,2025-04-16,1,1,2
JAD - Luxury Apartments - Kasper Coresi,Prahova,200500.0,4,9.7,251.0,2,2025-04-14,2025-04-16,1,1,2
WELL Prettyplaces Apartment 001,Prahova,276000.0,3,9.0,122.0,2,2025-04-14,2025-04-16,1,1,2
JAD - Comfortable - Apartments - Coresi,Prahova,198000.0,4,9.4,502.0,2,2025-04-14,2025-04-16,1,1,2
Iza Bella,Prahova,264500.0,0,9.6,11.0,2,2025-04-14,2025-04-16,1,1,2
Mountain Breeze Apartment,Prahova,168000.0,3,9.6,36.0,2,2025-04-14,2025-04-16,1,1,2
Seek and Hide - Csilla's Tiny Hideaway,Prahova,207500.0,3,9.7,70.0,2,2025-04-14,2025-04-16,1,1,2
Pension Casa Samurai,Prahova,160000.0,3,8.6,1.504,2,2025-04-14,2025-04-16,1,1,2
Postavarului Residence Brasov,Prahova,275000.0,4,8.6,3.0,2,2025-04-14,2025-04-16,1,1,2
Cozy Luxury Apartments - Coresi Mall #Brasov,Prahova,334000.0,4,9.1,209.0,2,2025-04-14,2025-04-16,1,1,2
Cozy Brand New Boutique ApartHotel Brasov,Prahova,317500.0,4,9.5,148.0,2,2025-04-14,2025-04-16,1,1,2
COZY Aparthotel - Premium Suites and Studios,Prahova,390500.0,3,9.9,20.0,2,2025-04-14,2025-04-16,1,1,2
Luxury Residences & Suites in Central Brasov at Coresi Mall,Prahova,300500.0,4,8.4,21.0,2,2025-04-14,2025-04-16,1,1,2
Stag Loft Brasov,Prahova,250500.0,4,9.9,30.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Kronwell,Prahova,900.5,0,9.7,2.07,2,2025-04-14,2025-04-16,1,1,2
JAD - Comfortable - 3 Rooms Apartments Isaran Coresi,Prahova,281000.0,4,9.5,233.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Kolping,Prahova,465500.0,0,9.3,1.791,2,2025-04-14,2025-04-16,1,1,2
A&T CentralApartment-FreeParking,Prahova,279000.0,4,9.5,14.0,2,2025-04-14,2025-04-16,1,1,2
EVU Long Street,Prahova,272500.0,3,9.0,254.0,2,2025-04-14,2025-04-16,1,1,2
Grandis Residence 16,Prahova,200000.0,3,9.5,16.0,2,2025-04-14,2025-04-16,1,1,2
Apartament Mini Palais Brasov,Prahova,225000.0,4,9.3,40.0,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Casa Bono,Prahova,390000.0,0,9.3,86.0,2,2025-04-14,2025-04-16,1,1,2
Zinne Apartments,Prahova,270000.0,3,9.5,278.0,2,2025-04-14,2025-04-16,1,1,2
Belvedere,Prahova,585.0,0,8.5,1.138,2,2025-04-14,2025-04-16,1,1,2
Mirandis Apartments - Comfort & Private Parking Near Coresi Mall,Brasov,223000.0,4,9.5,102.0,2,2025-04-14,2025-04-16,1,1,2
JAD - Luxury Apartments - Kasper Coresi,Brasov,200500.0,4,9.7,251.0,2,2025-04-14,2025-04-16,1,1,2
WELL Prettyplaces Apartment 001,Brasov,276000.0,3,9.0,122.0,2,2025-04-14,2025-04-16,1,1,2
JAD - Comfortable - Apartments - Coresi,Brasov,198000.0,4,9.4,502.0,2,2025-04-14,2025-04-16,1,1,2
Grand Hotel Belvedere,Brasov,585.0,0,8.7,1.82,2,2025-04-14,2025-04-16,1,1,2
Mountain Breeze Apartment,Brasov,168000.0,3,9.6,36.0,2,2025-04-14,2025-04-16,1,1,2
Seek and Hide - Csilla's Tiny Hideaway,Brasov,207500.0,3,9.7,70.0,2,2025-04-14,2025-04-16,1,1,2
Pension Casa Samurai,Brasov,160000.0,3,8.6,1.504,2,2025-04-14,2025-04-16,1,1,2
Postavarului Residence Brasov,Brasov,275000.0,4,8.6,3.0,2,2025-04-14,2025-04-16,1,1,2
Stag Loft Brasov,Brasov,250500.0,4,9.9,30.0,2,2025-04-14,2025-04-16,1,1,2
A&T CentralApartment-FreeParking,Brasov,279000.0,4,9.5,14.0,2,2025-04-14,2025-04-16,1,1,2
EVU Long Street,Brasov,272500.0,3,9.0,254.0,2,2025-04-14,2025-04-16,1,1,2
Grandis Residence 16,Brasov,200000.0,3,9.5,16.0,2,2025-04-14,2025-04-16,1,1,2
Apartament Mini Palais Brasov,Brasov,225000.0,4,9.3,40.0,2,2025-04-14,2025-04-16,1,1,2
Zinne Apartments,Brasov,270000.0,3,9.5,278.0,2,2025-04-14,2025-04-16,1,1,2
B&M Apartment,Brasov,207000.0,3,9.6,184.0,2,2025-04-14,2025-04-16,1,1,2
Jasmine Residence Studio,Brasov,231000.0,3,9.8,119.0,2,2025-04-14,2025-04-16,1,1,2
Casa chia,Brasov,157000.0,3,8.8,6.0,2,2025-04-14,2025-04-16,1,1,2
KORONA STUDIO,Brasov,217500.0,3,9.5,197.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Aro Palace,Brasov,729.0,0,8.7,2.698,2,2025-04-14,2025-04-16,1,1,2
Hotel Kronwell,Brasov,819.5,0,9.7,2.07,2,2025-04-14,2025-04-16,1,1,2
JAD - Comfortable - 3 Rooms Apartments Isaran Coresi,Brasov,255500.0,4,9.5,233.0,2,2025-04-14,2025-04-16,1,1,2
Apartament Sabrina Central,Brasov,300000.0,4,9.6,155.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Kolping,Brasov,465500.0,0,9.3,1.791,2,2025-04-14,2025-04-16,1,1,2
Hirscher Apartments,Brasov,337500.0,4,9.9,207.0,2,2025-04-14,2025-04-16,1,1,2
MyContinental Suceava,Suceava,355000.0,0,8.9,3.697,2,2025-04-14,2025-04-16,1,1,2
Hotel Sonnenhof,Suceava,570.0,0,9.4,1.362,2,2025-04-14,2025-04-16,1,1,2
Alina,Suceava,135000.0,0,9.4,0.0,2,2025-04-14,2025-04-16,1,1,2
Zlata Rezidential Home,Suceava,261000.0,4,9.6,10.0,2,2025-04-14,2025-04-16,1,1,2
Sunny Apartment in Suceava,Suceava,259000.0,3,8.5,58.0,2,2025-04-14,2025-04-16,1,1,2
Luxury Towers Apartments Parking included,Suceava,300500.0,3,9.9,47.0,2,2025-04-14,2025-04-16,1,1,2
Luxury Sunny Apartments near City Center Suceava,Suceava,256500.0,3,9.2,66.0,2,2025-04-14,2025-04-16,1,1,2
Luxury Apartments with 1&2 Bedroom with Parking,Suceava,291000.0,3,9.6,28.0,2,2025-04-14,2025-04-16,1,1,2
Prime Aparments University,Suceava,270000.0,4,9.9,47.0,2,2025-04-14,2025-04-16,1,1,2
Luxury Apartments and Studios Boulevard G Enescu Suceava,Suceava,342000.0,3,9.3,242.0,2,2025-04-14,2025-04-16,1,1,2
Cozy ApartHotel K Suceava,Suceava,342000.0,3,9.3,349.0,2,2025-04-14,2025-04-16,1,1,2
Casa Bucovineana,Suceava,379000.0,0,9.2,1.342,2,2025-04-14,2025-04-16,1,1,2
Deluxe Aparthotel MARWELL RESIDENCE,Suceava,513.5,4,9.8,669.0,2,2025-04-14,2025-04-16,1,1,2
Relaxing and Beautiful Apartments in Centre of Historical Suceava,Suceava,315000.0,3,9.1,59.0,2,2025-04-14,2025-04-16,1,1,2
Luxury 1 bedroom Avanera SV,Suceava,252000.0,0,7.7,8.0,2,2025-04-14,2025-04-16,1,1,2
Exclusive Ultracentral Apartments and Studios #Enescu#Universitatii#Suceava,Suceava,342000.0,3,9.4,87.0,2,2025-04-14,2025-04-16,1,1,2
Casa Dora,Suceava,219000.0,4,9.4,129.0,2,2025-04-14,2025-04-16,1,1,2
Mandachi Hotel & SPA,Suceava,860.0,0,9.4,3.183,2,2025-04-14,2025-04-16,1,1,2
LC APARTMENTS SUCEAVA Ab,Suceava,247500.0,3,9.6,5.0,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Meteora,Suceava,298000.0,0,8.3,190.0,2,2025-04-14,2025-04-16,1,1,2
Provence Suceava,Suceava,410000.0,0,9.6,829.0,2,2025-04-14,2025-04-16,1,1,2
Cozy Aparthotel - Central City Suceava,Suceava,378000.0,3,9.5,87.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Residenz,Suceava,440000.0,0,8.8,1.104,2,2025-04-14,2025-04-16,1,1,2
Lovely Cozy Apartments in Central Suceava,Suceava,360000.0,3,9.3,23.0,2,2025-04-14,2025-04-16,1,1,2
Sunny Apartments Avanera Suceava 96,Suceava,252000.0,3,9.1,25.0,2,2025-04-14,2025-04-16,1,1,2
GBU Home Timisoara,Timisoara,290500.0,0,9.7,1.476,2,2025-04-14,2025-04-16,1,1,2
Savoy Hotel,Timisoara,344500.0,0,8.9,1.729,2,2025-04-14,2025-04-16,1,1,2
Hotel Silva,Timisoara,350000.0,0,9.2,714.0,2,2025-04-14,2025-04-16,1,1,2
Do Stil Boutique Hotel,Timisoara,398000.0,0,9.1,1.314,2,2025-04-14,2025-04-16,1,1,2
Savoya4 Old City Center Self Checkin WorkspaceStudio,Timisoara,251500.0,3,8.6,68.0,2,2025-04-14,2025-04-16,1,1,2
Premier Luxury Lipatti by Glam Apartments,Timisoara,291000.0,3,9.6,10.0,2,2025-04-14,2025-04-16,1,1,2
Luxury Apt. Near River & Parking,Timisoara,275500.0,4,9.9,75.0,2,2025-04-14,2025-04-16,1,1,2
Creative Apartment,Timisoara,237500.0,3,9.0,72.0,2,2025-04-14,2025-04-16,1,1,2
Amazonia Apartments,Timisoara,775.0,0,9.3,685.0,2,2025-04-14,2025-04-16,1,1,2
Flora Residence,Timisoara,305000.0,3,9.5,119.0,2,2025-04-14,2025-04-16,1,1,2
Old Town Apartment on Eugeniu de Savoya street,Timisoara,237000.0,3,9.8,13.0,2,2025-04-14,2025-04-16,1,1,2
Piata Victoriei,Timisoara,270000.0,0,9.4,7.0,2,2025-04-14,2025-04-16,1,1,2
"HELIOS - DeLuxe Residence, close to the city center, plus PARKING included",Timisoara,513.0,0,9.8,6.0,2,2025-04-14,2025-04-16,1,1,2
NEW Central nr2 Self Checkin OldCity Center Paid Parking with Lift,Timisoara,267500.0,3,9.2,155.0,2,2025-04-14,2025-04-16,1,1,2
Enescu 3 City Center Flat,Timisoara,295000.0,3,9.8,83.0,2,2025-04-14,2025-04-16,1,1,2
Old city fortress exceptional place Cosmanu,Timisoara,290000.0,3,9.2,114.0,2,2025-04-14,2025-04-16,1,1,2
Alessia Apartment in the Old Town,Timisoara,305000.0,3,9.7,129.0,2,2025-04-14,2025-04-16,1,1,2
Rox Central Apartments 4,Timisoara,499000.0,3,9.9,46.0,2,2025-04-14,2025-04-16,1,1,2
Palatul Agoston Galgon,Timisoara,280000.0,0,9.9,3.0,2,2025-04-14,2025-04-16,1,1,2
Georgiana Apartments,Timisoara,247000.0,4,8.8,828.0,2,2025-04-14,2025-04-16,1,1,2
Forest Apartment Timișoara,Timisoara,270000.0,3,9.4,282.0,2,2025-04-14,2025-04-16,1,1,2
Victoriei,Timisoara,324000.0,0,9.7,3.0,2,2025-04-14,2025-04-16,1,1,2
Daiana Apartament,Timisoara,223000.0,3,9.8,37.0,2,2025-04-14,2025-04-16,1,1,2
Pacha Residence,Timisoara,290000.0,3,9.8,47.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Royal Plaza By TimHotels,Timisoara,638.0,0,9.1,205.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Esplanada,Tulcea,422000.0,0,8.7,550.0,2,2025-04-14,2025-04-16,1,1,2
Apartament max. confort,Tulcea,290000.0,3,9.8,133.0,2,2025-04-14,2025-04-16,1,1,2
Fabian Apart Faleza,Tulcea,300000.0,3,9.4,26.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Delta 3,Tulcea,470000.0,0,8.4,1.396,2,2025-04-14,2025-04-16,1,1,2
Hotel Egreta,Tulcea,181500.0,0,7.6,671.0,2,2025-04-14,2025-04-16,1,1,2
M&M apartment,Tulcea,288000.0,4,9.3,12.0,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Melisa,Tulcea,180000.0,0,8.4,411.0,2,2025-04-14,2025-04-16,1,1,2
Danubius view apartment,Tulcea,387000.0,0,8.4,0.0,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Delta Dunarii,Tulcea,265000.0,3,8.1,158.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Delta 4,Tulcea,700.0,0,8.3,561.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Select,Tulcea,307000.0,0,9.0,247.0,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Anda,Tulcea,170500.0,0,9.1,229.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Europolis,Tulcea,445000.0,0,8.6,266.0,2,2025-04-14,2025-04-16,1,1,2
Casa Selly,Tulcea,250000.0,3,9.1,30.0,2,2025-04-14,2025-04-16,1,1,2
Vila Alex&Razvan,Tulcea,230000.0,0,8.8,148.0,2,2025-04-14,2025-04-16,1,1,2
Apartament Pelican,Tulcea,400000.0,3,9.1,11.0,2,2025-04-14,2025-04-16,1,1,2
Hotel City,Tulcea,450000.0,0,8.4,331.0,2,2025-04-14,2025-04-16,1,1,2
"Casa Vera, Tudor Vladimirescu",Tulcea,300000.0,0,9.8,25.0,2,2025-04-14,2025-04-16,1,1,2
Apartament Diana,Tulcea,355000.0,3,9.1,45.0,2,2025-04-14,2025-04-16,1,1,2
SJ Apartment,Tulcea,283500.0,3,9.8,62.0,2,2025-04-14,2025-04-16,1,1,2
3-Room Delta Modern Residence,Tulcea,343500.0,3,8.4,22.0,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Lebada,Tulcea,260000.0,0,8.5,108.0,2,2025-04-14,2025-04-16,1,1,2
Casa Radu,Tulcea,157500.0,3,7.5,107.0,2,2025-04-14,2025-04-16,1,1,2
Casa Adelmar,Tulcea,330000.0,0,9.5,68.0,2,2025-04-14,2025-04-16,1,1,2
SimpliCity Apartament,Tulcea,315000.0,3,9.8,49.0,2,2025-04-14,2025-04-16,1,1,2
Hunter Vip,Mures,240000.0,3,9.6,512.0,2,2025-04-14,2025-04-16,1,1,2
Country Court,Mures,185000.0,0,9.1,87.0,2,2025-04-14,2025-04-16,1,1,2
Casa Lily - Japanese Retreat,Mures,170000.0,3,9.5,936.0,2,2025-04-14,2025-04-16,1,1,2
Hampton By Hilton Targu Mures,Mures,325000.0,0,9.4,590.0,2,2025-04-14,2025-04-16,1,1,2
Grand Hotel,Mures,414000.0,0,9.2,2.489,2,2025-04-14,2025-04-16,1,1,2
Continental Forum Tirgu Mures,Mures,305000.0,0,8.6,1.706,2,2025-04-14,2025-04-16,1,1,2
Hotel Casa Wagner,Mures,280000.0,0,8.6,2.726,2,2025-04-14,2025-04-16,1,1,2
Pensiunea El Passo Targu Mures,Mures,180000.0,3,8.7,436.0,2,2025-04-14,2025-04-16,1,1,2
Casa Agnes Vendeghaz,Mures,199000.0,0,7.7,88.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Concordia,Mures,480500.0,0,8.5,1.365,2,2025-04-14,2025-04-16,1,1,2
Vila Noblesse,Mures,450000.0,0,9.3,2.076,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Gasthaus Alte Post,Mures,395000.0,0,9.2,1.362,2,2025-04-14,2025-04-16,1,1,2
Happy Home,Mures,259500.0,4,9.2,59.0,2,2025-04-14,2025-04-16,1,1,2
HOTEL AGORA Mures,Mures,390000.0,0,9.6,340.0,2,2025-04-14,2025-04-16,1,1,2
VILA URSU din SOVATA BAI -ALL INCLUSIVE- & SPA,Mures,468000.0,0,7.9,460.0,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Select Central,Mures,270000.0,0,8.9,672.0,2,2025-04-14,2025-04-16,1,1,2
Reny's Studio Apartments -Hiperbara,Mures,278500.0,3,9.8,56.0,2,2025-04-14,2025-04-16,1,1,2
Stars Livezeni,Mures,185000.0,0,9.5,75.0,2,2025-04-14,2025-04-16,1,1,2
CASA 9,Mures,205500.0,3,9.8,158.0,2,2025-04-14,2025-04-16,1,1,2
C&C apartamente,Mures,191500.0,0,9.8,0.0,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Comfort,Mures,330000.0,3,9.7,386.0,2,2025-04-14,2025-04-16,1,1,2
Green Apartman,Mures,165000.0,3,9.4,83.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Villa Franca,Mures,322000.0,0,8.8,1.002,2,2025-04-14,2025-04-16,1,1,2
ART Apartment,Mures,260000.0,3,9.3,104.0,2,2025-04-14,2025-04-16,1,1,2
Hygge Praid,Mures,349500.0,4,9.8,149.0,2,2025-04-14,2025-04-16,1,1,2
Casa Savri,Mures,570.0,0,9.4,1.344,2,2025-04-14,2025-04-16,1,2,2
Casa Lily - Japanese Retreat,Mures,170000.0,3,9.5,936.0,2,2025-04-14,2025-04-16,1,2,2
Bellacya Resort & Spa,Mures,980.0,0,8.8,274.0,2,2025-04-14,2025-04-16,1,2,2
Grand Hotel,Mures,540.0,0,9.2,2.489,2,2025-04-14,2025-04-16,1,2,2
Patakparti 4,Mures,431500.0,3,9.5,30.0,2,2025-04-14,2025-04-16,1,2,2
Vila Noblesse,Mures,450000.0,0,9.3,2.076,2,2025-04-14,2025-04-16,1,2,2
Continental Forum Tirgu Mures,Mures,370000.0,0,8.6,1.706,2,2025-04-14,2025-04-16,1,2,2
Country Court,Mures,270000.0,0,9.1,87.0,2,2025-04-14,2025-04-16,1,2,2
Hotel Concordia,Mures,534.0,0,8.5,1.365,2,2025-04-14,2025-04-16,1,2,2
Hotel Casa Wagner,Mures,360000.0,0,8.6,2.726,2,2025-04-14,2025-04-16,1,2,2
VILA URSU din SOVATA BAI -ALL INCLUSIVE- & SPA,Mures,468000.0,0,7.9,460.0,2,2025-04-14,2025-04-16,1,2,2
Pensiunea Select Central,Mures,270000.0,0,8.9,672.0,2,2025-04-14,2025-04-16,1,2,2
Pensiunea Gasthaus Alte Post,Mures,516.0,0,9.2,1.362,2,2025-04-14,2025-04-16,1,2,2
Happy Home,Mures,293000.0,4,9.2,59.0,2,2025-04-14,2025-04-16,1,2,2
Pensiunea El Passo Targu Mures,Mures,250000.0,3,8.7,436.0,2,2025-04-14,2025-04-16,1,2,2
ART Apartment,Mures,260000.0,3,9.3,104.0,2,2025-04-14,2025-04-16,1,2,2
Casa Agnes Vendeghaz,Mures,260000.0,0,7.7,88.0,2,2025-04-14,2025-04-16,1,2,2
H11 Downtown Apartments,Mures,538.5,3,9.6,844.0,2,2025-04-14,2025-04-16,1,2,2
Constantin Panzió,Mures,295000.0,3,9.8,123.0,2,2025-04-14,2025-04-16,1,2,2
Hotel Villa Franca,Mures,322000.0,0,8.8,1.002,2,2025-04-14,2025-04-16,1,2,2
Vila El Passo,Mures,250000.0,3,9.1,134.0,2,2025-04-14,2025-04-16,1,2,2
HOTEL CIAO,Mures,349000.0,0,7.4,78.0,2,2025-04-14,2025-04-16,1,2,2
Vila Silvia,Mures,500.0,0,9.7,318.0,2,2025-04-14,2025-04-16,1,2,2
Pensiunea Comfort,Mures,450000.0,3,9.7,386.0,2,2025-04-14,2025-04-16,1,2,2
Wanderer Sighisoara,Mures,930.0,0,9.6,348.0,2,2025-04-14,2025-04-16,1,2,2
Luxury Towers Apartments Parking included,Suceava,310000.0,3,9.9,47.0,2,2025-04-14,2025-04-16,1,2,2
MyContinental Suceava,Suceava,380000.0,0,8.9,3.697,2,2025-04-14,2025-04-16,1,2,2
Luxury Apartments with 1&2 Bedroom with Parking,Suceava,300000.0,3,9.6,28.0,2,2025-04-14,2025-04-16,1,2,2
Alina,Suceava,150000.0,0,9.6,0.0,2,2025-04-14,2025-04-16,1,2,2
Zlata Rezidential Home,Suceava,290000.0,4,9.6,10.0,2,2025-04-14,2025-04-16,1,2,2
